Key,en,es,ar
appLEditAddress,Edit Address,Editar dirección,تحرير العنوان
appLAvailableBalance,Available Balance,Saldo disponible,الرصيد المتاح
appLPayNow,Pay Now,Paga ahora,ادفع الآن
appLPurchaseHistory,Purchase History,Historial de compras,تاريخ الشراء
appLCongratulations,Congratulations,Felicidades,تهانينا
appLAccepted,Accepted,Aceptado,مقبول
appLOngoing,Ongoing,En curso,مستمر
appLDelivered,Delivered,Entregado,تم التوصيل
appLInvestAmount,Invest Amount,Monto de inversión,مبلغ الاستثمار
appLProfitPercent,Profit Percent,Porcentaje de beneficio,نسبة الربح
appLProfitReturnType,Profit Return Type,Tipo de retorno de ganancias,نوع عائد الربح
appLStatus,Status,Estado,حالة
appLPlanDuration,Plan Duration,Duración del plan,مدة الخطة
appLMaximumInvestment,Maximum Investment,Máxima Inversión,الحد الأقصى للاستثمار
appLFixed,Fixed Profit,Beneficio fijo,الربح الثابت
appLPercentage,Percentage Profit,Beneficio porcentual,نسبة الربح
appLJustClick,Just Click To Try This,Simplemente haga clic para probar esto,فقط انقر لتجربة هذا
appLInvestGold,Invest Gold,invertir oro,استثمر الذهب
appLPurchasePlan,Purchase Plan,Plan de compra,خطة الشراء
appLPlan,Plan,Plan,يخطط
appLMaximumInvestAmount,Maximum Invest Amount,Monto máximo de inversión,الحد الأقصى لمبلغ الاستثمار
appLTermAndCondition,Terms and Condition,Términos y condiciones,الشروط والأحكام
appLCancel,Cancel,Cancelar,يلغي
appLPurchase,Purchase,Compra,شراء
appLCurrentPassword,Current Password,Contraseña actual,كلمة المرور الحالية
appLNewPassword,New Password,Nueva contraseña,كلمة المرور الجديدة
appLEmpoweringYou,Empowering you to secure your financial goals,Empoderándolo para asegurar sus objetivos financieros,تمكينك من تأمين أهدافك المالية
appLYourAccountHas,Your account has been create  successfully. Welcome to GoldInvest.,Su cuenta se ha creado correctamente. Bienvenido a GoldInvest.,لقد تم إنشاء حسابك بنجاح. مرحبا بكم في GoldInvest.
appLInvestmentHistory,Investment History,Historial de inversiones,تاريخ الاستثمار
appLCountry,Country,País,دولة
appLPhoneNumber,Phone Number,Número de teléfono,رقم التليفون
appLResendCode,Resend Code,Reenviar código,إعادة إرسال الرمز
appLAmount,Amount,Cantidad,كمية
appLWithdrawAmount,Withdraw Amount,Retirar cantidad,سحب المبلغ
appLRecipientsWillGet,Recipients Will Get,Los destinatarios obtendrán,سوف يحصل المستلمون
appLPayInTotal,Pay In Total,Pagar en total,الدفع في المجموع
appLSendingAmount,Sending Amount,Monto de envío,إرسال المبلغ
appLEvidenceNote,Evidence Note,Nota de evidencia,مذكرة الأدلة
appLSuccess,Success,Éxito,نجاح
appLPending,Pending,Pendiente,قيد الانتظار
appLHold,Hold,Sostener,يمسك
appLRejected,Rejected,Rechazado,مرفوض
appLWaiting,Waiting,Espera,منتظر
appLComplete,Complete,Completo,مكتمل
appLRunning,Running,Correr,جري
appLCencel,Cencel,cencel,سينسيل
appLKycInformation,Kyc Information,Información Kyc,معلومات كيك
appLUnverified,Unverified,Inconfirmado,لم يتم التحقق منها
appLFromCamera,From Camera,Desde la cámara,من الكاميرا
appLFromGallery,From Gallery,De la galería,من المعرض
appLDisable,Disable,Desactivar,إبطال
appLNoOrdersAvailable,No orders available,No hay pedidos disponibles,لا توجد طلبات متاحة
appLNoTransactionsAvailable,No transactions available,No hay transacciones disponibles,لا توجد معاملات متاحة
appLNoProfitAvailable,No profits available,No hay ganancias disponibles,لا توجد أرباح متاحة
appLSkip,Skip Now,Saltar ahora,تخطي الآن
appLDelete,Delete,Borrar,يمسح
appLConfirmDelete,Are you sure you want to delete this account,¿Estás seguro de que quieres eliminar esta cuenta?,هل أنت متأكد أنك تريد حذف هذا الحساب
appLDeleteConfirmation,Delete Confirmation,Eliminar confirmación,حذف التأكيد
appLSwipeTo,Swipe To,Desliza hacia,اسحب إلى
appLNoInvestAvailable,No Invest Available,No hay inversión disponible,لا يوجد استثمار متاح
appLNoNotificationAvailable,No Notification Available,No hay notificación disponible,لا يوجد إشعار متاح
appLTextCopy,Text copied to clipboard!,¡Texto copiado al portapapeles!,تم نسخ النص إلى الحافظة!
appLNoDataFound,No Data Found,No se encontraron datos,لم يتم العثور على بيانات
appLDays,Days,Días,أيام
appLType,Type-,Tipo-,يكتب-
appLPurity,Purity-,Pureza-,نقاء-
appLManufacturer,Manufacturer-,Fabricante-,الشركة المصنعة-
appLCountryOfOrigin,Country of Origin- ,País natal- ,بلد المنشأ- 
appLVerified,Verified,Verificado,تم التحقق منه
appLCryptoPaymentAddress,Crypto Payment Address,Dirección de pago criptográfico,عنوان دفع التشفير
appLPayWithThisAddress,Pay With This Address,Pague con esta dirección,ادفع بهذا العنوان
appLAddressCopyTo,Address Copy To,Copia de dirección a,نسخ العنوان إلى
appLTwoFactorAuthorization,Two Factor Authorization,Autorización de dos factores,إذن عاملين
appLEnterTheTwoFaVerification,Enter The Two Fa Verification,Ingrese la verificación de los Dos Fa,أدخل التحقق من اثنين فا
appLSettings,Settings,Ajustes,إعدادات
appLChangeLanguage,Change Language,Cambiar idioma,تغيير اللغة
appLLogOut,Log Out,Finalizar la sesión,تسجيل الخروج
appLPleaseAgreeToTheTermsAndConditionsBeforeProceeding,Please agree to the terms and conditions before proceeding,Por favor acepte los términos y condiciones antes de continuar.,يرجى الموافقة على الشروط والأحكام قبل المتابعة
appLOrderNow,Order Now,Ordene ahora,اطلب الآن
KYC Verification is currently off,KYC Verification is currently off,La verificación KYC está actualmente desactivada,التحقق من KYC متوقف حاليًا
